country,iso3,iso_num,year,ev_share_pct
Australia,AUS,36,2015,0.2
Australia,AUS,36,2016,0.1
Australia,AUS,36,2017,0.2
Australia,AUS,36,2018,0.4
Australia,AUS,36,2019,1.2
Australia,AUS,36,2020,1.1
Australia,AUS,36,2021,2.8
Australia,AUS,36,2022,5.0
Australia,AUS,36,2023,12.0
Australia,AUS,36,2024,13.0
Austria,AUT,40,2015,0.9
Austria,AUT,40,2016,1.5
Austria,AUT,40,2017,2.0
Austria,AUT,40,2018,2.6
Austria,AUT,40,2019,3.5
Austria,AUT,40,2020,9.5
Austria,AUT,40,2021,20.0
Austria,AUT,40,2022,22.0
Austria,AUT,40,2023,27.0
Austria,AUT,40,2024,24.0
Belgium,BEL,56,2015,0.8
Belgium,BEL,56,2016,1.7
Belgium,BEL,56,2017,2.6
Belgium,BEL,56,2018,2.4
Belgium,BEL,56,2019,3.2
Belgium,BEL,56,2020,11.0
Belgium,BEL,56,2021,18.0
Belgium,BEL,56,2022,26.0
Belgium,BEL,56,2023,41.0
Belgium,BEL,56,2024,43.0
Brazil,BRA,76,2015,0.0
Brazil,BRA,76,2016,0.0
Brazil,BRA,76,2017,0.0
Brazil,BRA,76,2018,0.0
Brazil,BRA,76,2019,0.1
Brazil,BRA,76,2020,0.2
Brazil,BRA,76,2021,0.9
Brazil,BRA,76,2022,1.2
Brazil,BRA,76,2023,3.0
Brazil,BRA,76,2024,6.4
Bulgaria,BGR,100,2015,0.1
Bulgaria,BGR,100,2016,0.1
Bulgaria,BGR,100,2017,0.3
Bulgaria,BGR,100,2018,0.6
Bulgaria,BGR,100,2019,0.7
Bulgaria,BGR,100,2021,2.2
Bulgaria,BGR,100,2022,4.0
Bulgaria,BGR,100,2023,5.8
Bulgaria,BGR,100,2024,5.0
Canada,CAN,124,2015,0.5
Canada,CAN,124,2016,0.8
Canada,CAN,124,2017,1.0
Canada,CAN,124,2018,2.8
Canada,CAN,124,2019,3.4
Canada,CAN,124,2020,4.2
Canada,CAN,124,2021,6.4
Canada,CAN,124,2022,9.5
Canada,CAN,124,2023,13.0
Canada,CAN,124,2024,17.0
Chile,CHL,152,2015,0.0
Chile,CHL,152,2016,0.0
Chile,CHL,152,2017,0.1
Chile,CHL,152,2018,0.1
Chile,CHL,152,2019,0.1
Chile,CHL,152,2020,0.2
Chile,CHL,152,2021,0.3
Chile,CHL,152,2022,0.6
Chile,CHL,152,2023,0.8
Chile,CHL,152,2024,2.1
China,CHN,156,2015,1.0
China,CHN,156,2016,1.5
China,CHN,156,2017,2.4
China,CHN,156,2018,4.7
China,CHN,156,2019,5.0
China,CHN,156,2020,5.7
China,CHN,156,2021,15.0
China,CHN,156,2022,29.0
China,CHN,156,2023,38.0
China,CHN,156,2024,48.0
Colombia,COL,170,2015,0.0
Colombia,COL,170,2016,0.0
Colombia,COL,170,2017,0.1
Colombia,COL,170,2018,0.4
Colombia,COL,170,2019,0.8
Colombia,COL,170,2020,0.9
Colombia,COL,170,2021,1.7
Colombia,COL,170,2022,2.9
Colombia,COL,170,2023,3.9
Colombia,COL,170,2024,7.4
Costa Rica,CRI,188,2015,0.0
Costa Rica,CRI,188,2016,0.2
Costa Rica,CRI,188,2017,0.1
Costa Rica,CRI,188,2018,0.8
Costa Rica,CRI,188,2019,1.2
Costa Rica,CRI,188,2020,2.5
Costa Rica,CRI,188,2021,3.6
Costa Rica,CRI,188,2022,7.6
Costa Rica,CRI,188,2023,13.0
Costa Rica,CRI,188,2024,15.0
